user_id,timestamp,channel,event_type,conversion,survey_score
user_716,2025-01-11 01:40:58,social_media,click,0,
user_775,2025-01-06 15:11:40,social_media,click,0,
user_968,2025-01-09 16:24:57,organic_search,click,0,
user_862,2025-01-23 08:11:47,email,conversion,1,5.0
user_524,2025-01-09 00:43:19,direct,click,0,
user_657,2025-01-11 20:36:09,organic_search,open,0,
user_847,2025-01-24 18:00:36,direct,open,0,
user_574,2025-01-16 11:23:21,direct,open,0,
user_637,2025-01-16 11:10:22,organic_search,open,0,
user_74,2025-01-11 14:34:46,organic_search,open,0,
user_729,2025-01-04 04:15:46,direct,conversion,1,3.0
user_358,2025-01-08 12:02:26,organic_search,open,0,
user_904,2025-01-04 14:42:41,social_media,click,0,
user_308,2025-01-12 15:59:54,social_media,click,0,
user_775,2025-01-12 18:45:34,social_media,click,0,
user_524,2025-01-22 10:39:28,direct,click,0,
user_722,2025-01-01 01:55:15,direct,click,0,
user_922,2025-01-15 22:19:13,organic_search,open,0,
user_382,2025-01-12 11:11:13,direct,click,0,
user_184,2025-01-19 20:36:26,display_ads,click,0,
user_20,2025-01-20 11:12:41,social_media,click,0,
user_557,2025-01-24 15:32:46,social_media,click,0,
user_886,2025-01-12 18:52:23,display_ads,open,0,
user_124,2025-01-24 22:27:34,organic_search,click,0,
user_72,2025-01-15 03:19:56,display_ads,open,0,
user_493,2025-01-05 01:06:22,direct,click,0,
user_560,2025-01-16 09:44:36,organic_search,click,0,
user_765,2025-01-10 22:14:22,social_media,conversion,1,5.0
user_170,2025-01-19 13:15:25,social_media,click,0,
user_259,2025-01-11 07:08:59,social_media,click,0,
user_930,2025-01-22 13:58:22,social_media,click,0,
user_70,2025-01-21 12:45:02,organic_search,click,0,
user_852,2025-01-15 15:33:41,direct,click,0,
user_371,2025-01-02 01:41:53,direct,open,0,
user_519,2025-01-25 03:00:08,direct,open,0,
user_321,2025-01-10 00:32:00,display_ads,conversion,1,
user_260,2025-01-13 01:34:12,email,open,0,
user_980,2025-01-06 11:47:33,email,open,0,
user_69,2025-01-04 00:53:31,email,open,0,
user_640,2025-01-04 08:52:53,social_media,open,0,
user_632,2025-01-22 20:46:52,organic_search,click,0,
user_42,2025-01-15 22:46:12,direct,open,0,
user_729,2025-01-12 17:35:29,display_ads,open,0,
user_346,2025-01-08 20:50:36,email,open,0,
user_773,2025-01-07 12:12:54,social_media,click,0,
user_921,2025-01-01 22:34:47,direct,conversion,1,
user_282,2025-01-07 05:22:40,email,open,0,
user_110,2025-01-07 17:06:47,display_ads,click,0,
user_796,2025-01-11 23:55:29,organic_search,click,0,
user_115,2025-01-01 20:58:21,organic_search,open,0,
user_131,2025-01-12 00:35:26,email,open,0,
user_950,2025-01-02 14:19:08,email,click,0,
user_927,2025-01-18 08:24:36,email,open,0,
user_668,2025-01-04 01:42:48,social_media,click,0,
user_700,2025-01-17 15:45:48,social_media,click,0,
user_362,2025-01-04 11:19:46,direct,click,0,
user_729,2025-01-11 00:36:59,direct,click,0,
user_112,2025-01-18 05:25:24,organic_search,open,0,
user_438,2025-01-14 11:56:36,email,open,0,
user_930,2025-01-10 12:03:05,social_media,open,0,
user_810,2025-01-13 16:46:41,direct,click,0,
user_265,2025-01-23 10:49:12,social_media,open,0,
user_741,2025-01-07 10:00:03,organic_search,click,0,
user_50,2025-01-05 23:56:34,email,click,0,
user_395,2025-01-07 00:18:37,organic_search,open,0,
user_907,2025-01-04 07:54:03,email,click,0,
user_423,2025-01-11 07:38:16,social_media,click,0,
user_994,2025-01-22 12:36:35,email,click,0,
user_878,2025-01-08 15:00:33,direct,open,0,
user_340,2025-01-12 08:08:05,email,open,0,
user_597,2025-01-14 08:15:24,direct,open,0,
user_263,2025-01-14 23:31:51,organic_search,open,0,
user_447,2025-01-10 03:36:11,organic_search,click,0,
user_98,2025-01-18 01:38:37,direct,click,0,
user_100,2025-01-11 21:31:18,email,click,0,
user_593,2025-01-19 12:53:02,direct,click,0,
user_61,2025-01-03 21:59:29,organic_search,click,0,
user_826,2025-01-02 13:43:03,direct,click,0,
user_9,2025-01-11 07:34:16,email,click,0,
user_800,2025-01-05 14:05:28,social_media,click,0,
user_923,2025-01-01 23:25:11,direct,click,0,
user_194,2025-01-13 02:30:41,social_media,open,0,
user_937,2025-01-07 02:58:13,email,click,0,
user_145,2025-01-11 06:02:46,organic_search,click,0,
user_816,2025-01-01 11:51:12,display_ads,click,0,
user_597,2025-01-01 12:24:44,organic_search,open,0,
user_657,2025-01-08 03:51:27,display_ads,conversion,1,3.0
user_358,2025-01-16 20:24:53,email,click,0,
user_384,2025-01-04 16:52:29,display_ads,open,0,
user_938,2025-01-02 12:41:13,display_ads,open,0,
user_501,2025-01-21 19:47:19,social_media,open,0,
user_393,2025-01-19 05:44:38,direct,click,0,
user_811,2025-01-03 05:32:04,organic_search,conversion,1,3.0
user_445,2025-01-20 03:48:33,organic_search,click,0,
user_273,2025-01-11 16:53:42,direct,conversion,1,1.0
user_995,2025-01-15 23:16:00,email,open,0,
user_21,2025-01-05 21:47:00,display_ads,conversion,1,5.0
user_823,2025-01-11 01:15:42,social_media,click,0,
user_989,2025-01-09 08:00:29,organic_search,open,0,
user_510,2025-01-23 17:00:21,email,click,0,
user_597,2025-01-05 06:26:45,direct,conversion,1,2.0
user_734,2025-01-16 13:46:13,display_ads,open,0,
